title,author,abstract,url,pages,doi,bibkey,project
Modeling the exposure of wild fish to endocrine active chemicals: Potential linkages of total estrogenicity to field-observed intersex,"Maricor J. Arlos, Wayne Parker, José R. Bicudo, Pam Law, Keegan A. Hicks, Meghan Fuzzen, Susan A. Andrews, Mark R. Servos, ","Decades of studies on endocrine disruption have suggested the need to manage the release of key estrogens from municipal wastewater treatment plants (WWTP). However, the proposed thresholds are below the detection limits of most routine chemical analysis, thereby restricting the ability of watershed managers to assess the environmental exposure appropriately. In this study, we demonstrated the utility of a mechanistic model to address the data gaps on estrogen exposure. Concentrations of the prominent estrogenic contaminants in wastewaters (estrone, estradiol, and ethinylestradiol) were simulated in the Grand River in southern Ontario (Canada) for nine years, including a period when major WWTP upgrades occurred. The predicted concentrations expressed as total estrogenicity (E2 equivalent concentrations) were contrasted to a key estrogenic response (i.e., intersex) in rainbow darter (Etheostoma caeruleum), a wild sentinel fish species. A predicted total estrogenicity in the river of ≥10 ng/L E2 equivalents was associated with high intersex incidence and severity, whereas concentrations <0.1 ng/L E2 equivalents were associated with minimal intersex expression. Exposure to a predicted river concentration of 0.4 ng/L E2 equivalents, the environmental quality standard (EQS) proposed by the European Union for estradiol, was associated with 34% (95% CI:30-38) intersex incidence and a very low severity score of 0.6 (95% CI:0.5-0.7). This exposure is not predicted to cause adverse effects in rainbow darter. The analyses completed in this study were only based on the predicted presence of three major estrogens (E1, E2, EE2), so caution must be exercised when interpreting the results. Nevertheless, this study illustrates the use of models for exposure assessment, especially when measured data are not available.",G18-9001,187-197,10.1016/j.watres.2018.04.005,Arlos-2018-Modeling,Linking Multiple Stressors to Adverse Ecological Responses Across Watersheds
Multi-year prediction of estrogenicity in municipal wastewater effluents,"Maricor J. Arlos, Wayne Parker, José R. Bicudo, Pam Law, Patricija Marjan, Susan A. Andrews, Mark R. Servos, ","In this study, the estrogenicity of two major wastewater treatment plant (WWTP) effluents located in the central reaches of the Grand River watershed in southern Ontario was estimated using population demographics, excretion rates, and treatment plant-specific removals. Due to the lack of data on estrogen concentrations from direct measurements at WWTPs, the treatment efficiencies through the plants were estimated using the information obtained from an effects-directed analysis. The results show that this approach could effectively estimate the estrogenicity of WWTP effluents, both before and after major infrastructure upgrades were made at the Kitchener WWTP. The model was then applied to several possible future scenarios including population growth and river low flow conditions. The scenario analyses showed that post-upgrade operation of the Kitchener WWTP will not release highly estrogenic effluent under the 2041 projected population increase (36%) or summer low flows. Similarly, the Waterloo WWTP treatment operation is also expected to improve once the upgrades have been fully implemented and is expected to effectively treat estrogens even under extreme scenarios of population growth and river flows. The developed model may be employed to support decision making on wastewater management strategies designed for environmental protection, especially on reducing the endocrine effects in fish exposed to WWTP effluents.",G18-10001,1103-1112,10.1016/j.scitotenv.2017.08.171,Arlos-2018-Multi-year,Linking Multiple Stressors to Adverse Ecological Responses Across Watersheds
A spatial evaluation of global wildfire-water risks to human and natural systems,"François Robinne, Kevin D. Bladon, Carol Miller, Marc‐André Parisien, Jérôme Mathieu, Mike Flannigan, ","The large mediatic coverage of recent massive wildfires across the world has emphasized the vulnerability of freshwater resources. The extensive hydrogeomorphic effects from a wildfire can impair the ability of watersheds to provide safe drinking water to downstream communities and high-quality water to maintain riverine ecosystem health. Safeguarding water use for human activities and ecosystems is required for sustainable development; however, no global assessment of wildfire impacts on water supply is currently available. Here, we provide the first global evaluation of wildfire risks to water security, in the form of a spatially explicit index. We adapted the Driving forces-Pressure-State-Impact-Response risk analysis framework to select a comprehensive set of indicators of fire activity and water availability, which we then aggregated to a single index of wildfire-water risk using a simple additive weighted model. Our results show that water security in many regions of the world is potentially vulnerable, regardless of socio-economic status. However, in developing countries, a critical component of the risk is the lack of socio-economic capability to respond to disasters. Our work highlights the importance of addressing wildfire-induced risks in the development of water security policies; the geographic differences in the components of the overall risk could help adapting those policies to different regional contexts.",G18-10002,1193-1206,10.1016/j.scitotenv.2017.08.112,Robinne-2018-A,Boreal Water Futures: Canada’s Boreal Wildlands-Society-Water Nexus
Historical drought patterns over Canada and their teleconnections with large-scale climate signals,"Zilefac Elvis Asong, H. S. Wheater, Barrie Bonsal, Saman Razavi, Sopan Kurkute, ","Abstract. Drought is a recurring extreme climate event and among the most costly natural disasters in the world. This is particularly true over Canada, where drought is both a frequent and damaging phenomenon with impacts on regional water resources, agriculture, industry, aquatic ecosystems, and health. However, nationwide drought assessments are currently lacking and impacted by limited ground-based observations. This study provides a comprehensive analysis of historical droughts over the whole of Canada, including the role of large-scale teleconnections. Drought events are characterized by the Standardized Precipitation Evapotranspiration Index (SPEI) over various temporal scales (1, 3, 6, and 12 consecutive months, 6 months from April to September, and 12 months from October to September) applied to different gridded monthly data sets for the period 1950–2013. The Mann–Kendall test, rotated empirical orthogonal function, continuous wavelet transform, and wavelet coherence analyses are used, respectively, to investigate the trend, spatio-temporal patterns, periodicity, and teleconnectivity of drought events. Results indicate that southern (northern) parts of the country experienced significant trends towards drier (wetter) conditions although substantial variability exists. Two spatially well-defined regions with different temporal evolution of droughts were identified – the Canadian Prairies and northern central Canada. The analyses also revealed the presence of a dominant periodicity of between 8 and 32 months in the Prairie region and between 8 and 40 months in the northern central region. These cycles of low-frequency variability are found to be associated principally with the Pacific–North American (PNA) and Multivariate El Niño/Southern Oscillation Index (MEI) relative to other considered large-scale climate indices. This study is the first of its kind to identify dominant periodicities in drought variability over the whole of Canada in terms of when the drought events occur, their duration, and how often they occur.",G18-11001,3105-3124,10.5194/hess-22-3105-2018,Asong-2018-Historical,Integrated Modelling Program for Canada (IMPC)
On the appropriate definition of soil profile configuration and initial conditions for land surface–hydrology models  in cold regions,"Gonzalo Sapriza-Azuri, Pablo Gamazo, Saman Razavi, H. S. Wheater, ","Abstract. Arctic and subarctic regions are amongst the most susceptible regions on Earth to global warming and climate change. Understanding and predicting the impact of climate change in these regions require a proper process representation of the interactions between climate, carbon cycle, and hydrology in Earth system models. This study focuses on land surface models (LSMs) that represent the lower boundary condition of general circulation models (GCMs) and regional climate models (RCMs), which simulate climate change evolution at the global and regional scales, respectively. LSMs typically utilize a standard soil configuration with a depth of no more than 4 m, whereas for cold, permafrost regions, field experiments show that attention to deep soil profiles is needed to understand and close the water and energy balances, which are tightly coupled through the phase change. To address this gap, we design and run a series of model experiments with a one-dimensional LSM, called CLASS (Canadian Land Surface Scheme), as embedded in the MESH (Modélisation Environmentale Communautaire – Surface and Hydrology) modelling system, to (1) characterize the effect of soil profile depth under different climate conditions and in the presence of parameter uncertainty; (2) assess the effect of including or excluding the geothermal flux in the LSM at the bottom of the soil column; and (3) develop a methodology for temperature profile initialization in permafrost regions, where the system has an extended memory, by the use of paleo-records and bootstrapping. Our study area is in Norman Wells, Northwest Territories of Canada, where measurements of soil temperature profiles and historical reconstructed climate data are available. Our results demonstrate a dominant role for parameter uncertainty, that is often neglected in LSMs. Considering such high sensitivity to parameter values and dependency on the climate condition, we show that a minimum depth of 20 m is essential to adequately represent the temperature dynamics. We further show that our proposed initialization procedure is effective and robust to uncertainty in paleo-climate reconstructions and that more than 300 years of reconstructed climate time series are needed for proper model initialization.",G18-11002,3295-3309,10.5194/hess-22-3295-2018,Sapriza-Azuri-2018-On,Integrated Modelling Program for Canada (IMPC)
Potential impacts of climate change on the habitat of boreal woodland caribou,"Quinn E. Barber, Marc‐André Parisien, Ellen Whitman, Diana Stralberg, Chris J. Johnson, Martin‐Hugues St‐Laurent, Evan R. DeLancey, David T. Price, Dominique Arseneault, Xianli Wang, Mike D. Flannigan, ","Boreal woodland caribou (Rangifer tarandus caribou) are currently listed as threatened in Canada, with populations in the province of Alberta expected to decline as much as 50 percent over the next 8–15 yr. We assessed the future of caribou habitat across a region of northeast Alberta using a model of habitat-quality and projections of future climate from three general circulation models. We used mapped climatic and topo-edaphic properties to project future upland vegetation cover and a fire simulation model to project the frequency and extent of wildfires. Based on those projections, we quantified the future habitat of caribou according to estimates of nutritional resources and predation risk derived from vegetation cover type and stand age. Grassland vegetation covered up to half of the study area by the 2080s, expanding from >1% in the present and contributing to a significant contraction in mixedwood and coniferous forests. This change in vegetation would increase the risk of predation and disease, as habitat becomes more suitable for white-tailed deer (Odocoileus virginianus) and, consequently, gray wolves (Canis lupus). Borne out, these changes would severely compromise the long-term persistence of caribou in the boreal forest of Alberta.",G18-12001,e02472,10.1002/ecs2.2472,Barber-2018-Potential,Boreal Water Futures: Canada’s Boreal Wildlands-Society-Water Nexus
Improving the Explicit Prediction of Freezing Rain in a Kilometer-Scale Numerical Weather Prediction Model,"Agnieszka Barszcz, Jason A. Milbrandt, Julie M. Thériault, ","Abstract A freezing rain event, in which the Meteorological Centre of Canada’s 2.5-km numerical weather prediction system significantly underpredicted the quantity of freezing rain, is examined. The prediction system models precipitation types explicitly, directly from the Milbrandt–Yau microphysics scheme. It was determined that the freezing rain underprediction for this case was due primarily to excessive refreezing of rain, originating from melting snow and graupel, in and under the temperature inversion of the advancing warm front ultimately depleting the supply of rain reaching the surface. The refreezing was caused from excessive collisional freezing between rain and graupel. Sensitivity experiments were conducted to examine the effects of a temperature threshold for collisional freezing and on varying the values of the collection efficiencies between rain and ice-phase hydrometeors. It was shown that by reducing the rain–graupel collection efficiency and by imposing a temperature threshold of −5°C, above which collisional freezing is not permitted, excessive rain–graupel collection and graupel formation can be controlled in the microphysics scheme, leading to an improved simulation of freezing rain at the surface.",G18-13001,767-782,10.1175/waf-d-17-0136.1,Barszcz-2018-Improving,Climate-Related Precipitation Extremes
Probable Maximum Precipitation: Its Estimation and Uncertainty Quantification Using Bivariate Extreme Value Analysis,"M. A. Ben Alaya, Francis W. Zwiers, X. Zhang, ","Abstract Probable maximum precipitation (PMP) is the key parameter used to estimate the probable maximum flood (PMF), both of which are important for dam safety and civil engineering purposes. The usual operational procedure for obtaining PMP values, which is based on a moisture maximization approach, produces a single PMP value without an estimate of its uncertainty. We therefore propose a probabilistic framework based on a bivariate extreme value distribution to aid in the interpretation of these PMP values. This 1) allows us to evaluate estimates from the operational procedure relative to an estimate of a plausible distribution of PMP values, 2) enables an evaluation of the uncertainty of these values, and 3) provides clarification of the impact of the assumption that a PMP event occurs under conditions of maximum moisture availability. Results based on a 50-yr Canadian Centre for Climate Modelling and Analysis Regional Climate Model (CanRCM4) simulation over North America reveal that operational PMP estimates are highly uncertain and suggest that the assumption that PMP events have maximum moisture availability may not be valid. Specifically, in the climate simulated by CanRCM4, the operational approach applied to 50-yr data records produces a value that is similar to the value that is obtained in our approach when assuming complete dependence between extreme precipitation efficiency and extreme precipitable water. In contrast, our results suggest weaker than complete dependence. Estimates from the operational approach are 15% larger on average over North America than those obtained when accounting for the dependence between precipitation efficiency and precipitable water extremes realistically. A difference of this magnitude may have serious implications in engineering design.",G18-14001,679-694,10.1175/jhm-d-17-0110.1,Ben Alaya-2018-Probable,Climate-Related Precipitation Extremes
Contributions of Geophysical and C-Band SAR Data for Estimation of Field Scale Soil Moisture,"Aaron Berg, Mitchell Krafczek, Daniel Clewley, J. Whitcomb, Ruzbeh Akbar, Mahta Moghaddam, Heather McNarin, ","In this study we evaluate a Random Forest (RF) model for characterizing the spatial variability of soil moisture based on model derived from in situ soil moisture samples, geophysical data and RADAR observations. The RF model is run with and without C-band SAR backscatter to understand the importance of the inclusion of SAR data for mapping of soil moisture at field scale. The inclusion of SAR data in the RF resulted in a modest improvement however the geophysical parameters (e.g. soil types and terrain properties) were of greater importance.",G18-15001,,10.1109/igarss.2018.8517551,Berg-2018-Contributions,Transformative Sensor Technologies and Smart Watersheds for Canadian Water Futures
Application of Photon Recollision Probability Theory for Compatibility Check Between Foliage Clumping and Leaf Area Index Products Obtained from Earth Observation Data,"Jan Písek, Henning Buddenbaum, Fernando Camacho, Joachim Hill, Jennifer Jensen, Holger Lange, Zhili Liu, Arndt Piayda, Yonghua Qu, Olivier Roupsard, Shawn Serbin, Svein Solberg, Oliver Sonnentag, Anne Thimonier, Francesco Vuolo, ","Clumping index (CI) is a measure of foliage aggregation relative to a random distribution of leaves in space. The CI can help with estimating fractions of sunlit and shaded leaves for a given value of leaf area index (LAI). Both the CI and LAI can be obtained from global Earth Observing (EO) systems such as the Moderate Resolution Imaging Spectrometer (MODIS). Here, the compatibility between CI and LAI products derived from EO data is examined independently using the theory of spectral invariants, also referred to as photon recollision probability theory (i.e. ‘ $p$ -theory’), along with raw LAI-2000/2200 Plant Canopy Analyzer data from 75 sites distributed across a range of plant functional types (PFTs). The $p$ -theory describes the probability (p-value) that a photon, having intercepted an element in the canopy, will recollide with another canopy element rather than escape the canopy. Our results indicate that the integration of empirically-based CI maps with the MODIS LAI product is feasible, providing a potential means to improve the accuracy of LAI EO data products. Given the strong results for the large range of PFTs explored here, we demonstrate the capacity to obtain p-values for any location solely from EO data. This is relevant for future applications of the photon recollision probability concept for global and local monitoring of vegetation using EO data.",G18-4001,,10.1109/igarss.2018.8518535,Pisek-2018-Application,Northern Water Futures
Quantifying the effect of forest age in annual net forest carbon balance,"Simon Besnard, Nuno Carvalhais, M. Altaf Arain, Andrew Black, Sytze de Bruin, Nina Buchmann, Alessandro Cescatti, Jiquan Chen, J.G.P.W. Clevers, Ankur R. Desai, Christopher M. Gough, Kateřina Havránková, Martin Herold, Lukas Hörtnagl, Martin Jung, Alexander Knohl, Bart Kruijt, Lenka Krupková, Beverly E. Law, Anders Lindroth, Asko Noormets, Olivier Roupsard, R. Steinbrecher, Andrej Varlagin, Caroline Vincke, Markus Reichstein, ","Forests dominate carbon (C) exchanges between the terrestrial biosphere and the atmosphere on land. In the long term, the net carbon flux between forests and the atmosphere has been significantly impacted by changes in forest cover area and structure due to ecological disturbances and management activities. Current empirical approaches for estimating net ecosystem productivity (NEP) rarely consider forest age as a predictor, which represents variation in physiological processes that can respond differently to environmental drivers, and regrowth following disturbance. Here, we conduct an observational synthesis to empirically determine to what extent climate, soil properties, nitrogen deposition, forest age and management influence the spatial and interannual variability of forest NEP across 126 forest eddy-covariance flux sites worldwide. The empirical models explained up to 62% and 71% of spatio-temporal and across-site variability of annual NEP, respectively. An investigation of model structures revealed that forest age was a dominant factor of NEP spatio-temporal variability in both space and time at the global scale as compared to abiotic factors, such as nutrient availability, soil characteristics and climate. These findings emphasize the importance of forest age in quantifying spatio-temporal variation in NEP using empirical approaches.",G18-16001,124018,10.1088/1748-9326/aaeaeb,Besnard-2018-Quantifying,Southern Forests Water Futures
