title,author,abstract,url,pages,doi,bibkey,project
Reduction of Intersex in a Wild Fish Population in Response to Major Municipal Wastewater Treatment Plant Upgrades,"Keegan A. Hicks, Meghan Fuzzen, Emily Kaitlin McCann, Maricor J. Arlos, Leslie M. Bragg, Sonya Kleywegt, Gerald R. Tetreault, Mark E. McMaster, Mark R. Servos, ","Intersex in fish downstream of municipal wastewater treatment plants (MWWTPs) is a global concern. Consistent high rates of intersex in male rainbow darter (Etheostoma caeruleum) have been reported for several years in the Grand River, in southern Ontario, Canada, in close proximity to two MWWTPs. The larger MWWTP (Kitchener) recently underwent upgrades that included the conversion from a carbonaceous activated sludge to nitrifying activated sludge treatment process. This created a unique opportunity to assess whether upgrades designed to improve effluent quality could also remediate the intersex previously observed in wild fish. Multiple years (2007-2012) of intersex data on male rainbow darter collected before the upgrades at sites associated with the MWWTP outfall were compared with intersex data collected in postupgrade years (2013-2015). These upgrades resulted in a reduction from 70 to 100% intersex incidence (preupgrade) to <10% in postupgrade years. Although the cause of intersex remains unknown, indicators of effluent quality including nutrients, pharmaceuticals, and estrogenicity improved in the effluent after the upgrades. This study demonstrated that investment in MWWTP upgrades improved effluent quality and was associated with an immediate change in biological responses in the receiving environment. This is an important finding considering the tremendous cost of wastewater infrastructure.",G17-1001,1811-1819,10.1021/acs.est.6b05370,Hicks-2017-Reduction,Linking Multiple Stressors to Adverse Ecological Responses Across Watersheds
The Effect of Coherent Structures in the Atmospheric Surface Layer on Blowing-Snow Transport,"Nikolas Aksamit, John W. Pomeroy, ","While turbulent bursts are considered critical for blowing-snow transport and initiation, the interaction of the airflow with the snow surface is not fully understood. To better characterize the coupling of turbulent structures and blowing-snow transport, observations collected in natural environments at the necessary high-resolution time scales are needed. To address this, high-frequency measurements of turbulence, blowing-snow density and particle velocity were made in the Canadian Rockies. During blowing-snow storms, modified variable-interval time averaging enabled identification of periods of near-surface blowing-snow coupling with shear-stress-producing motions in the lowest 2 m of the atmospheric surface layer. The identification of those turbulent motions responsible for blowing snow yields a better understanding of the event-driven mechanics of initiation and sustained transport. The type of coherent structures generating the Reynolds stress are just as important as the magnitude of the Reynolds stress in initiating and sustaining near-surface blowing snow. Our results suggest that blowing-snow models driven by merely the time-averaged shear stress lack physical realism in the near-surface region. The next phase of the development of blowing-snow models should incorporate parametrizations of coherent turbulent structures.",G17-2001,,10.1007/s10546-017-0318-2,Aksamit-2017-The,Mountain Water Futures
DIY meteorology: Use of citizen science to monitor snow dynamics in a data-sparse city,"Willemijn M. Appels, Lori Bradford, Kwok Pan Chun, Anna Coles, Graham Strickert, ","Cities are under pressure to operate their services effectively and project costs of operations across various timeframes. In high-latitude and high-altitude urban centers, snow management is one of the larger unknowns and has both operational and budgetary limitations. Snowfall and snow depth observations within urban environments are important to plan snow clearing and prepare for the effects of spring runoff on cities’ drainage systems. In-house research functions are expensive, but one way to overcome that expense and still produce effective data is through citizen science. In this paper, we examine the potential to use citizen science for snowfall data collection in urban environments. A group of volunteers measured daily snowfall and snow depth at an urban site in Saskatoon (Canada) during two winters. Reliability was assessed with a statistical consistency analysis and a comparison with other data sets collected around Saskatoon. We found that citizen-science-derived data were more reliable and relevant for many urban management stakeholders. Feedback from the participants demonstrated reflexivity about social learning and a renewed sense of community built around generating reliable and useful data. We conclude that citizen science holds great potential to improve data provision for effective and sustainable city planning and greater social learning benefits overall.",G17-3001,734-753,10.1139/facets-2017-0030,Appels-2017-DIY,Crowdsourcing Water Science
Evaluation of Integrated Multisatellite Retrievals for GPM (IMERG) over Southern Canada against Ground Precipitation Observations: A Preliminary Assessment,"Zilefac Elvis Asong, Saman Razavi, H. S. Wheater, Jefferson S. Wong, ","Abstract The Global Precipitation Measurement (GPM) mission offers new opportunities for modeling a range of physical/hydrological processes at higher resolutions, especially for remote river systems where the hydrometeorological monitoring network is sparse and weather radar is not readily available. In this study, the recently released Integrated Multisatellite Retrievals for GPM [version 03 (V03) IMERG Final Run] product with high spatiotemporal resolution of 0.1° and 30 min is evaluated against ground-based reference measurements (at the 6-hourly, daily, and monthly time scales) over different terrestrial ecozones of southern Canada within a 23-month period from 12 March 2014 to 31 January 2016. While IMERG and ground-based observations show similar regional variations of mean daily precipitation, IMERG tends to overestimate higher monthly precipitation amounts over the Pacific Maritime ecozone. Results from using continuous as well as categorical skill metrics reveal that IMERG shows more satisfactory agreement at the daily and the 6-hourly time scales for the months of June–September, unlike November–March. In terms of precipitation extremes (defined by the 75th percentile threshold for reference data), apart from a tendency toward overdetection of heavy precipitation events, IMERG captured well the distribution of heavy precipitation amounts and observed wet/dry spell length distributions over most ecozones. However, low skill was found over large portions of the Montane Cordillera ecozone and a few stations in the Prairie ecozone. This early study highlights a potential applicability of V03 IMERG Final Run as a reliable source of precipitation estimates in diverse water resources and hydrometeorological applications for different regions in southern Canada.",G17-4001,1033-1050,10.1175/jhm-d-16-0187.1,Asong-2017-Evaluation,Integrated Modelling Program for Canada (IMPC)
The changing hail threat over North America in response to anthropogenic climate change,"Julian C. Brimelow, William R. Burrows, John Hanesiak, ","Anthropogenic climate change is anticipated to increase severe thunderstorm potential in North America, but the resulting changes in associated convective hazards are not well known. Here, using a novel modelling approach, we investigate the spatiotemporal changes in hail frequency and size between the present (1971–2000) and future (2041–2070). Although fewer hail days are expected over most areas in the future, an increase in the mean hail size is projected, with fewer small hail events and a shift toward a more frequent occurrence of larger hail. This leads to an anticipated increase in hail damage potential over most southern regions in spring, retreating to the higher latitudes (that is, north of 50° N) and the Rocky Mountains in the summer. In contrast, a dramatic decrease in hail frequency and damage potential is predicted over eastern and southeastern regions in spring and summer due to a significant increase in melting that mitigates gains in hail size from increased buoyancy.",G17-5001,516-522,10.1038/nclimate3321,Brimelow-2017-The,Climate-Related Precipitation Extremes
The economic value of river restoration,"Roy Brouwer, Oleg Sheremet, ",This study was part of the European Framework 7 funded project ‘Restoring Rivers for Effective Catchment Management’ (REFORM).,G17-6001,1-8,10.1016/j.wre.2017.02.005,Brouwer-2017-The,Integrated Modelling Program for Canada (IMPC)
RADARSAT-2-based digital elevation models derived from InSAR for high latitudes of northern Canada,"Thuan Chu, Apurba Das, Karl‐Erich Lindenschmidt, ","The accuracy of digital elevation models (DEMs) plays an important role in many terrain-related applications, particular in high northern latitudes where there is uncertainty in DEMs. Using the interferometric synthetic aperture radar techniques, this study examined how different RADARSAT-2 beam modes can be used to generate DEMs with high accuracy. Using a conventional interferometry method, the Spotlight DEM shows the highest accuracy among all studied DEM products, with the root-mean-square error (RMSE) ranging from 13.9 to 17.4 m, followed by the F0W3 DEM and U26W2 DEM. The error sources in DEM generation due to uncertainty in perpendicular baseline and atmospheric delay are likely more important than the random phase noise caused by volume scattering and environmental changes during synthetic aperture radar (SAR) acquisitions. The small baselines subset (SBAS) method did not significantly improve DEM quality due to the limitation of the number of SAR images in this study. The integration of both Spotlight conventional DEMs and SBAS DEM considerably improved results yielding high-quality DEMs for the study area, with an RMSE of 9.7 m. Further studies are necessary to quantitatively evaluate the effects of surface motion as well as the orbital and atmospheric errors on the DEM accuracy. The Slave River Delta in the Northwest Territories of Canada was used as a test case.",G17-7001,1,10.1117/1.jrs.11.035013,Chu-2017-RADARSAT-2-based,Integrated Modelling Program for Canada (IMPC)
A novel stochastic method for reconstructing daily precipitation times-series using tree-ring data from the western Canadian Boreal Forest,"Kwok Pan Chun, Steven D. Mamet, Juha M. Metsaranta, Alan G. Barr, Jill F. Johnstone, H. S. Wheater, ","Abstract Tree ring data provide proxy records of historical hydroclimatic conditions that are widely used for reconstructing precipitation time series. Most previous applications are limited to annual time scales, though information about daily precipitation would enable a range of additional analyses of environmental processes to be investigated and modelled. We used statistical downscaling to simulate stochastic daily precipitation ensembles using dendrochronological data from the western Canadian boreal forest. The simulated precipitation series were generally consistent with observed precipitation data, though reconstructions were poorly constrained during short periods of forest pest outbreaks. The proposed multiple temporal scale precipitation reconstruction can generate annual daily maxima and persistent monthly wet and dry episodes, so that the observed and simulated ensembles have similar precipitation characteristics (i.e. magnitude, peak, and duration)—an improvement on previous modelling studies. We discuss how ecological disturbances may limit reconstructions by inducing non-linear responses in tree growth, and conclude with suggestions of possible applications and further development of downscaling methods for dendrochronological data.",G17-8001,9-18,10.1016/j.dendro.2017.01.003,Chun-2017-A,Integrated Modelling Program for Canada (IMPC)
A modelling framework to simulate field-scale nitrate response and transport during snowmelt: The WINTRA model,"Diogo Costa, Jennifer Roste, John W. Pomeroy, Helen M. Baulch, J. M. Elliott, H. S. Wheater, Cherie J. Westbrook, ","Modeling nutrient transport during snowmelt in cold regions remains a major scientific challenge. A key limitation of existing nutrient models for application in cold regions is the inadequate representation of snowmelt, including hydrological and biogeochemical processes. This brief period can account for more than 80% of the total annual surface runoff in the Canadian Prairies and Northern Canada and processes such as atmospheric deposition, over-winter redistribution of snow, ion exclusion from snow crystals, frozen soils, and snowcovered area depletion during melt influence the distribution and release of snow and soil nutrients, thus affecting the timing and magnitude of snowmelt runoff nutrient concentrations.

Research in cold regions suggests that nitrate (NO3) runoff at the field scale can be divided into five phases during snowmelt. In the first phase, water and ions originating from ion-rich snow layers travel and diffuse through the snowpack. This process causes ion concentrations in runoff to gradually increase. The second phase occurs when this snow ion meltwater front has reached the bottom of the snowpack and forms runoff to the edge-of-the-field (EOF). During the third and fourth phases, the main source of NO3 transitions from the snowpack to the soil. Finally, the fifth and last phase occurs when the snow has completely melted, and the thawing soil becomes the main source of NO3 to the stream.

In this research, a process-based model was developed to simulate hourly export based on this five-phase approach. Results from an application in the Red River Basin of southern Manitoba, Canada shows that the model can adequately capture the dynamics and rapid changes of NO3 concentrations during this period at relevant temporal resolutions. This is a significant achievement to advance the current nutrient modeling paradigm in cold climates, which is generally limited to satisfactory results at monthly or annual resolutions. The approach can inform catchment-scale nutrient models to improve simulation of this critical snowmelt period.

Nutrient exports Winter Snow Nitrate Agriculture Nutrient model",G17-9001,4250-4268,10.1002/hyp.11346,Costa-2017-A,Agricultural Water Futures
Influence of snowpack and melt energy heterogeneity on snow cover depletion and snowmelt runoff simulation in a cold mountain environment,"C. M. DeBeer, John W. Pomeroy, ","Abstract The spatial heterogeneity of mountain snow cover and ablation is important in controlling patterns of snow cover depletion (SCD), meltwater production, and runoff, yet is not well-represented in most large-scale hydrological models and land surface schemes. Analyses were conducted in this study to examine the influence of various representations of snow cover and melt energy heterogeneity on both simulated SCD and stream discharge from a small alpine basin in the Canadian Rocky Mountains. Simulations were performed using the Cold Regions Hydrological Model (CRHM), where point-scale snowmelt computations were made using a snowpack energy balance formulation and applied to spatial frequency distributions of snow water equivalent (SWE) on individual slope-, aspect-, and landcover-based hydrological response units (HRUs) in the basin. Hydrological routines were added to represent the vertical and lateral transfers of water through the basin and channel system. From previous studies it is understood that the heterogeneity of late winter SWE is a primary control on patterns of SCD. The analyses here showed that spatial variation in applied melt energy, mainly due to differences in net radiation, has an important influence on SCD at multiple scales and basin discharge, and cannot be neglected without serious error in the prediction of these variables. A single basin SWE distribution using the basin-wide mean SWE ( SWE ‾ ) and coefficient of variation (CV; standard deviation/mean) was found to represent the fine-scale spatial heterogeneity of SWE sufficiently well. Simulations that accounted for differences in ( SWE ‾ ) among HRUs but neglected the sub-HRU heterogeneity of SWE were found to yield similar discharge results as simulations that included this heterogeneity, while SCD was poorly represented, even at the basin level. Finally, applying point-scale snowmelt computations based on a single SWE depth for each HRU (thereby neglecting spatial differences in internal snowpack energetics over the distributions) was found to yield similar SCD and discharge results as simulations that resolved internal energy differences. Spatial/internal snowpack melt energy effects are more pronounced at times earlier in spring before the main period of snowmelt and SCD, as shown in previously published work. The paper discusses the importance of these findings as they apply to the warranted complexity of snowmelt process simulation in cold mountain environments, and shows how the end-of-winter SWE distribution represents an effective means of resolving snow cover heterogeneity at multiple scales for modelling, even in steep and complex terrain.",G17-10001,199-213,10.1016/j.jhydrol.2017.07.051,DeBeer-2017-Influence,Integrated Modelling Program for Canada (IMPC)
An Integrated Modelling System to Predict Hydrological Processes under Climate and Land-Use/Cover Change Scenarios,"Babak Farjad, Anil Gupta, Saman Razavi, Monireh Faramarzi, Danielle J. Marceau, ","This study proposes an integrated modeling system consisting of the physically-based MIKE SHE/MIKE 11 model, a cellular automata model, and general circulation models (GCMs) scenarios to investigate the independent and combined effects of future climate and land-use/land-cover (LULC) changes on the hydrology of a river system. The integrated modelling system is applied to the Elbow River watershed in southern Alberta, Canada in conjunction with extreme GCM scenarios and two LULC change scenarios in the 2020s and 2050s. Results reveal that LULC change substantially modifies the river flow regime in the east sub-catchment, where rapid urbanization is occurring. It is also shown that the change in LULC causes an increase in peak flows in both the 2020s and 2050s. The impacts of climate and LULC change on streamflow are positively correlated in winter and spring, which intensifies their influence and leads to a significant rise in streamflow, and, subsequently, increases the vulnerability of the watershed to spring floods. This study highlights the importance of using an integrated modeling approach to investigate both the independent and combined impacts of climate and LULC changes on the future of hydrology to improve our understanding of how watersheds will respond to climate and LULC changes.",G17-11001,767,10.3390/w9100767,Farjad-2017-An,Integrated Modelling Program for Canada (IMPC)
