title,author,abstract,url,pages,doi,bibkey
Virtual Barriers: Unpacking the Sustainability Implications of Online Food Spaces and the Yellowknife Farmers Market’s Response to COVID-19,"Josalyn Radcliffe, Kelly Skinner, Andrew Spring, Lise Picard, France Benoit, Warren Dodd, ","Abstract Background Through their support of local agriculture, relationships, and healthy diets, farmers’ markets can contribute to a sustainable food system. Markets like the Yellowknife Farmers Market (YKFM) are social spaces that support local food, yet the COVID-19 pandemic has forced changes to their current model. This paper explores the potential of online marketplaces to contribute to a resilient, sustainable food system and the barriers to making this transition for the YKFM. Methods In 2019, a collaborative mixed-method evaluation was initiated by the YKFM and university partners in the Northwest Territories (NWT), Canada. The co-created evaluation plan included two patron surveys, a vendor survey and vendor interviews. The evaluation began with an in-person Rapid Market Assessment dot survey and questionnaire of market patrons from two YKFM dates prior to the pandemic. Due to COVID-19, we determined it was not a good time to conduct the vendor survey and interviews. Ongoing engagement with the market facilitated an assessment of the COVID-19 response. Results For the patron surveys, 59 dot survey and 31 questionnaire participants were recruited. The top motivators for attendance were eating dinner, atmosphere, and supporting local businesses, and most patrons attended as couples and spent over half of their time talking to others. The YKFM did not move online, citing concerns about meeting produce demand, incongruence between the online model and market strengths, low dependency on the YKFM by vendors, and potential challenges for patrons using new technology. Conclusions NWT food strategies rely on farmers’ markets to nurture a local food system. Online markets can support local food by facilitating purchases and knowledge-sharing, yet they do not replicate the open-air or social experience. Challenges to the online transition reflect the survey findings and current food context in the NWT. While online adaptation does not fit into the YKFM plan today, online markets may prove useful as a complementary strategy for future emerging stressors to enhance the resiliency of local systems.",G20-3009,,10.21203/rs.3.rs-40591/v1,Radcliffe-2020-Virtual
"Hydrologic-Land Surface Modelling of a Complex System under Precipitation Uncertainty: A Case Study of the Saskatchewan River Basin, Canada","Fuad Yassin, Jefferson Wong, Saman Razavi, Al Pietroniro, Howard Wheater, ",,G20-3010,,10.1002/essoar.10501699.1,Yassin-2020-Hydrologic-Land
Tree water deficit and dynamic source water partitioning,"Magali F. Nehemy, Paolo Benettin, Mitra Asadollahi, Dyan Pratt, Andrea Rinaldo, Jeffrey J. McDonnell, ",,G20-4001,,10.1002/hyp.14004,Nehemy-2020-Tree
Anoxygenic photosynthesis and iron–sulfur metabolic potential of Chlorobia populations from seasonally anoxic Boreal Shield lakes,"J. M. Tsuji, N. Tran, S. L. Schiff, J. J. Venkiteswaran, L. A. Molot, M. Tank, S. Hanada, J. D. Neufeld, ","Aquatic environments with high levels of dissolved ferrous iron and low levels of sulfate serve as an important systems for exploring biogeochemical processes relevant to the early Earth. Boreal Shield lakes, which number in the tens of millions globally, commonly develop seasonally anoxic waters that become iron rich and sulfate poor, yet the iron-sulfur microbiology of these systems has been poorly examined. Here we use genome-resolved metagenomics and enrichment cultivation to explore the metabolic diversity and ecology of anoxygenic photosynthesis and iron/sulfur cycling in the anoxic water columns of three Boreal Shield lakes. We recovered four high-completeness and low-contamination draft genome bins assigned to the class Chlorobia (formerly phylum Chlorobi) from environmental metagenome data and enriched two novel sulfide-oxidizing species, also from the Chlorobia. The sequenced genomes of both enriched species, including the novel ""Candidatus Chlorobium canadense"", encoded the cyc2 gene that is associated with photoferrotrophy among cultured Chlorobia members, along with genes for phototrophic sulfide oxidation. One environmental genome bin also encoded cyc2. Despite the presence of cyc2 in the corresponding draft genome, we were unable to induce photoferrotrophy in ""Ca. Chlorobium canadense"". Genomic potential for phototrophic sulfide oxidation was more commonly detected than cyc2 among environmental genome bins of Chlorobia, and metagenome and cultivation data suggested the potential for cryptic sulfur cycling to fuel sulfide-based growth. Overall, our results provide an important basis for further probing the functional role of cyc2 and indicate that anoxygenic photoautotrophs in Boreal Shield lakes could have underexplored photophysiology pertinent to understanding Earth's early microbial communities.",G20-5001,2732-2747,10.1038/s41396-020-0725-0,Tsuji-2020-Anoxygenic
Permafrost thaw in boreal peatlands is rapidly altering forest community composition,"Katherine D. Dearborn, Cory A. Wallace, Rajit Patankar, Jennifer L. Baltzer, ",,G20-6001,1452-1467,10.1111/1365-2745.13569,Dearborn-2020-Permafrost
Shallow soils are warmer under trees and tall shrubs across Arctic and Boreal ecosystems,"Heather Kropp, Michael M Loranty, Susan M Natali, Alexander L Kholodov, Adrian V Rocha, Isla Myers-Smith, Benjamin W Abbot, Jakob Abermann, Elena Blanc-Betes, Daan Blok, Gesche Blume-Werry, Julia Boike, Amy L Breen, Sean M P Cahoon, Casper T Christiansen, Thomas A Douglas, Howard E Epstein, Gerald V Frost, Mathias Goeckede, Toke T Høye, Steven D Mamet, Jonathan A O’Donnell, David Olefeldt, Gareth K Phoenix, Verity G Salmon, A Britta K Sannel, Sharon L Smith, Oliver Sonnentag, Lydia Smith Vaughn, Mathew Williams, Bo Elberling, Laura Gough, Jan Hjort, Peter M Lafleur, Eugenie S Euskirchen, Monique MPD Heijmans, Elyn R Humphreys, Hiroki Iwata, Benjamin M Jones, M Torre Jorgenson, Inge Grünberg, Yongwon Kim, James Laundre, Marguerite Mauritz, Anders Michelsen, Gabriela Schaepman-Strub, Ken D Tape, Masahito Ueyama, Bang-Yong Lee, Kirsty Langley, Magnus Lund, ","Abstract Soils are warming as air temperatures rise across the Arctic and Boreal region concurrent with the expansion of tall-statured shrubs and trees in the tundra. Changes in vegetation structure and function are expected to alter soil thermal regimes, thereby modifying climate feedbacks related to permafrost thaw and carbon cycling. However, current understanding of vegetation impacts on soil temperature is limited to local or regional scales and lacks the generality necessary to predict soil warming and permafrost stability on a pan-Arctic scale. Here we synthesize shallow soil and air temperature observations with broad spatial and temporal coverage collected across 106 sites representing nine different vegetation types in the permafrost region. We showed ecosystems with tall-statured shrubs and trees (&gt;40 cm) have warmer shallow soils than those with short-statured tundra vegetation when normalized to a constant air temperature. In tree and tall shrub vegetation types, cooler temperatures in the warm season do not lead to cooler mean annual soil temperature indicating that ground thermal regimes in the cold-season rather than the warm-season are most critical for predicting soil warming in ecosystems underlain by permafrost. Our results suggest that the expansion of tall shrubs and trees into tundra regions can amplify shallow soil warming, and could increase the potential for increased seasonal thaw depth and increase soil carbon cycling rates and lead to increased carbon dioxide loss and further permafrost thaw.",G20-7001,015001,10.1088/1748-9326/abc994,Kropp-2020-Shallow
Drivers and health implications of the dietary transition among Inuit in the Canadian Arctic: a scoping review,"Matthew Little, Hilary Hagar, Chloe Zivot, Warren Dodd, Kelly Skinner, Tiff-Annie Kenny, Amy Caughey, Josephine Gaupholm, Melanie Lemire, ","The current study undertook a systematic scoping review on the drivers and implications of dietary changes among Inuit in the Canadian Arctic.A keyword search of peer-reviewed articles was performed using PubMed, Web of Science, CINAHL, Academic Search Premier, Circumpolar Health Bibliographic Database and High North Research Documents. Eligibility criteria included all full-text articles of any design reporting on research on food consumption, nutrient intake, dietary adequacy, dietary change, food security, nutrition-related chronic diseases or traditional food harvesting and consumption among Inuit populations residing in Canada. Articles reporting on in vivo and in vitro experiments or on health impacts of environmental contaminants were excluded.A total of 162 studies were included. Studies indicated declining country food (CF) consumption in favour of market food (MF). Drivers of this transition include colonial processes, poverty and socio-economic factors, changing food preferences and knowledge, and climate change. Health implications of the dietary transition are complex. Micro-nutrient deficiencies and dietary inadequacy are serious concerns and likely exacerbated by increased consumption of non-nutrient dense MF. Food insecurity, overweight, obesity and related cardiometabolic health outcomes are growing public health concerns. Meanwhile, declining CF consumption is entangled with shifting culture and traditional knowledge, with potential implications for psychological, spiritual, social and cultural health and well-being.By exploring and synthesising published literature, this review provides insight into the complex factors influencing Inuit diet and health. Findings may be informative for future research, decision-making and intersectoral actions around risk assessment, food policy and innovative community programmes.",G20-8001,2650-2668,10.1017/s1368980020002402,Little-2020-Drivers
Expert assessment of future vulnerability of the global peatland carbon sink,"J. Loisel, A. V. Gallego-Sala, M. J. Amesbury, G. Magnan, G. Anshari, D. W. Beilman, J. C. Benavides, J. Blewett, P. Camill, D. J. Charman, S. Chawchai, A. Hedgpeth, T. Kleinen, A. Korhola, D. Large, C. A. Mansilla, J. Müller, S. van Bellen, J. B. West, Z. Yu, J. L. Bubier, M. Garneau, T. Moore, A. B. K. Sannel, S. Page, M. Väliranta, M. Bechtold, V. Brovkin, L. E. S. Cole, J. P. Chanton, T. R. Christensen, M. A. Davies, F. De Vleeschouwer, S. A. Finkelstein, S. Frolking, M. Gałka, L. Gandois, N. Girkin, L. I. Harris, A. Heinemeyer, A. M. Hoyt, M. C. Jones, F. Joos, S. Juutinen, K. Kaiser, T. Lacourse, M. Lamentowicz, T. Larmola, J. Leifeld, A. Lohila, A. M. Milner, K. Minkkinen, P. Moss, B. D. A. Naafs, J. Nichols, J. O’Donnell, R. Payne, M. Philben, S. Piilo, A. Quillet, A. S. Ratnayake, T. P. Roland, S. Sjögersten, O. Sonnentag, G. T. Swindles, W. Swinnen, J. Talbot, C. Treat, A. C. Valach, J. Wu, ","The carbon balance of peatlands is predicted to shift from a sink to a source this century. However, peatland ecosystems are still omitted from the main Earth system models that are used for future climate change projections, and they are not considered in integrated assessment models that are used in impact and mitigation studies. By using evidence synthesized from the literature and an expert elicitation, we define and quantify the leading drivers of change that have impacted peatland carbon stocks during the Holocene and predict their effect during this century and in the far future. We also identify uncertainties and knowledge gaps in the scientific community and provide insight towards better integration of peatlands into modelling frameworks. Given the importance of the contribution by peatlands to the global carbon cycle, this study shows that peatland science is a critical research area and that we still have a long way to go to fully understand the peatland–carbon–climate nexus. Peatlands are impacted by climate and land-use changes, with feedback to warming by acting as either sources or sinks of carbon. Expert elicitation combined with literature review reveals key drivers of change that alter peatland carbon dynamics, with implications for improving models.",G20-9001,70-77,10.1038/s41558-020-00944-0,Loisel-2020-Expert
Improving sub-canopy snow depth mapping with unmanned aerial vehicles: lidar versus structure-from-motion techniques,"Phillip Harder, John W. Pomeroy, Warren D. Helgason, ","Abstract. Vegetation has a tremendous influence on snow processes and snowpack dynamics, yet remote sensing techniques to resolve the spatial variability of sub-canopy snow depth are not always available and are difficult from space-based platforms. Unmanned aerial vehicles (UAVs) have had recent widespread application to capture high-resolution information on snow processes and are herein applied to the sub-canopy snow depth challenge. Previous demonstrations of snow depth mapping with UAV structure from motion (SfM) and airborne lidar have focussed on non-vegetated surfaces or reported large errors in the presence of vegetation. In contrast, UAV-lidar systems have high-density point clouds and measure returns from a wide range of scan angles, increasing the likelihood of successfully sensing the sub-canopy snow depth. The effectiveness of UAV lidar and UAV SfM in mapping snow depth in both open and forested terrain was tested in a 2019 field campaign at the Canadian Rockies Hydrological Observatory, Alberta, and at Canadian prairie sites near Saskatoon, Saskatchewan, Canada. Only UAV lidar could successfully measure the sub-canopy snow surface with reliable sub-canopy point coverage and consistent error metrics (root mean square error (RMSE) &lt;0.17 m and bias −0.03 to −0.13 m). Relative to UAV lidar, UAV SfM did not consistently sense the sub-canopy snow surface, the interpolation needed to account for point cloud gaps introduced interpolation artefacts, and error metrics demonstrated relatively large variability (RMSE&lt;0.33 m and bias 0.08 to −0.14 m). With the demonstration of sub-canopy snow depth mapping capabilities, a number of early applications are presented to showcase the ability of UAV lidar to effectively quantify the many multiscale snow processes defining snowpack dynamics in mountain and prairie environments.",G20-10001,1919-1935,10.5194/tc-14-1919-2020,Harder-2020-Improving
Rethinking groundwater age,"Grant Ferguson, Mark O. Cuthbert, Kevin Befus, Tom Gleeson, Jennifer C. McIntosh, ","It is commonly thought that old groundwater cannot be pumped sustainably, and that recently recharged groundwater is inherently sustainable. We argue that both old and young groundwaters can be used in physically sustainable or unsustainable ways.",G20-11001,592-594,10.1038/s41561-020-0629-7,Ferguson-2020-Rethinking
Editors’ Choice—Review—Conductive Forms of MoS<sub>2</sub> and Their Applications in Energy Storage and Conversion,"Dipankar Saha, Peter Kruse, ","Conductive forms of MoS 2 are important emerging 2D materials due to their unique combination of properties such as high electrical conductivity, availability of active sites in edge and basal planes for catalytic activity and expanded interlayer distances. Consequently, there has been a drive to find synthetic routes toward conductive forms of MoS 2 . Naturally occurring or synthetically grown semiconducting 2H-MoS 2 can either be converted into metallic 1T-MoS 2 , or various dopants may be introduced to modulate the electronic band gap of the 2H-MoS 2 phase and increase its conductivity. Chemical and electrochemical intercalation methods, hydrothermal and solvothermal processes, and chemical vapor deposition have all been developed to synthesize conductive MoS 2 . Conductive MoS 2 finds applications in energy storage devices, electrocatalytic reactions, and sensors. Here, we summarize a detailed understanding of the atomic structure and electronic properties of conductive MoS 2 which is crucial for its applications. We also discuss various fabrication methods that have been previously reported along with their advantages and disadvantages. Finally, we will give an overview of current trends in different applications in energy storage and electrocatalytic reactions in order to help researchers to further explore the applications of conductive MoS 2 .",G20-12001,126517,10.1149/1945-7111/abb34b,Saha-2020-Editors’
Peroxide-Induced Tuning of the Conductivity of Nanometer-Thick MoS<sub>2</sub> Films for Solid-State Sensors,"Dipankar Saha, Ponnambalam Ravi Selvaganapathy, Peter Kruse, ","Applications of molybdenum disulfide (MoS2) in energy storage devices, solar cells, electrocatalysts, and sensors require good electrical conductivity. However, neither of the current ways to prepa...",G20-13001,10864-10877,10.1021/acsanm.0c02135,Saha-2020-Peroxide-Induced
LDAP: Lightweight Dynamic Auto-Reconfigurable Protocol in an IoT-Enabled WSN for Wide-Area Remote Monitoring,"Gazi M. E. Rahman, Khan A. Wahid, ","IoT (Internet of Things)-based remote monitoring and controlling applications are increasing in dimensions and domains day by day. Sensor-based remote monitoring using a Wireless Sensor Network (WSN) becomes challenging for applications when both temporal and spatial data from widely spread sources are acquired in real time. In applications such as environmental, agricultural, and water quality monitoring, the data sources are geographically distributed, and have little or no cellular connectivity. These applications require long-distance wireless or satellite connections for IoT connectivity. Present WSNs are better suited for densely populated applications and require a large number of sensor nodes and base stations for wider coverage but at the cost of added complexity in routing and network organization. As a result, real time data acquisition using an IoT connected WSN is a challenge in terms of coverage, network lifetime, and wireless connectivity. This paper proposes a lightweight, dynamic, and auto-reconfigurable communication protocol (LDAP) for Wide-Area Remote Monitoring (WARM) applications. It has a mobile data sink for wider WSN coverage, and auto-reconfiguration capability to cope with the dynamic network topology required for device mobility. The WSN coverage and lifetime are further improved by using a Long-Range (LoRa) wireless interface. We evaluated the performance of the proposed LDAP in the field in terms of the data delivery rate, Received Signal Strength (RSS), and Signal to Noise Ratio (SNR). All experiments were conducted in a field trial for a water quality monitoring application as a case study. We have used both static and mobile data sinks with static sensor nodes in an IoT-connected environment. The experimental results show a significant reduction (up to 80%) of the number of data sinks while using the proposed LDAP. We also evaluated the energy consumption to determine the lifetime of the WSN using the LDAP algorithm.",G20-14001,3131,10.3390/rs12193131,Rahman-2020-LDAP:
